"nombrePropio","nombreComun","latitud","id","lugarDePlantacion","nombreCientifico","estado","longitud","riegos","id_monitores","altura_monitores","fotografia_monitores","timestamp_monitores","sanidad_monitores"
"WM128","Jarca",-17.411200836997097,"gEgnBwrLH3Cwk7DnwTfd","Corredor biológico urbano","Senegalia (Acacia) visco (Lorentz ex Griseb.) Seigler & Ebinger","vivo",-66.04663096368313,"[]","CxAGaq4W7R97gX4fKbI9",0.25,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_095110_3470468529433842644.jpg?alt=media&token=56f83150-e5fb-4984-88bf-5f5f10bf583f","2023-01-05 09:52:17","Sano, vigoroso"
"Wm127","Tara",-17.41118516119106,"z6uxnwWiHjAZvp2yaMec","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.0466654971242,"[]","5RhXUSw8y8y3jkpx7T5N",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_095216_1000073648.jpg?alt=media&token=3449fb74-e144-4e59-a80f-f8b842715410","2023-01-05 09:52:24","Sano, vigoroso"
"Wm129","Limón",-17.41127313763608,"ZXZZQpFPU6TUdOwRySUP","Parque","...","vivo",-66.04662962257862,"[]","n0UktvgnGW6bCEfnwFtq",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_095033_4715094227555204596.jpg?alt=media&token=818c0f2f-7728-45f0-af4f-dd8537f69596","2023-01-05 09:52:36","Sano, vigoroso"
"wm130","Olivo",-17.41130129008954,"E9bgiQRKipq1uCWoBbjp","Parque","...","vivo",-66.04658871889114,"[]","g8hFChQVX6BMCKYJiNum",0.9,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_095209_5799740775344055160.jpg?alt=media&token=d692ab9e-237c-46d1-97e0-554ddf5bbcd1","2023-01-05 09:53:46","Sano, vigoroso"
"WM131","Tipa",-17.41122131151723,"MRFAQB8wbeIUldhsok8T","Corredor biológico urbano","Thevetia peruviana","vivo",-66.04659877717495,"[]","lMXM6znuWzmP1P5eJckL",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_095513_8656342772233795857.jpg?alt=media&token=0cc90e96-0115-4b46-8abf-025a1126e923","2023-01-05 09:55:40","Sano, vigoroso"
"Wm132","Tara",-17.411244665263958,"heOI8ULTSg8a8BR6hWq0","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.04656659066677,"[]","Kdp87PVgRi7QY10xAudQ",0.25,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_095550_1000073649.jpg?alt=media&token=6cbb360f-df5d-440d-b450-125f0e579df9","2023-01-05 09:56:20","Sano, vigoroso"
"Wm133","Tara",-17.41131984511331,"cEISk6lBE5wFgUkWvxap","Parque","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.0465582087636,"[]","nU1XavcdaT5FE5Y45BXs",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_095629_2043013580847423427.jpg?alt=media&token=49ce6a12-49c2-4727-96f4-74ee74f6863e","2023-01-05 09:56:51","Sano, vigoroso"
"WR135","Tara",-17.41126162072205,"h987a3MAkCexlVxn3xMx","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.04654278606176,"[]","T7WWYsb4sHfIwQLpPKaS",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_095733_8216122278322802217.jpg?alt=media&token=0743a3b0-975b-44e0-bba8-3970b370cd88","2023-01-05 09:57:52","Sano, vigoroso"
"Wm136","Tipa",-17.41129937060422,"HFCsRnnbVDsv8cwOa9tg","Corredor biológico urbano","...","vivo",-66.04649148881435,"[]","NTMvuza5xNpezZsMBQV4",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_095733_1000073650.jpg?alt=media&token=f44c5023-7fd6-4eb2-843d-e832ce1ce279","2023-01-05 09:58:14","Sano, vigoroso"
"WR137","Tara",-17.411326563311107,"LcP5IdTOrKGYNJfxmXdZ","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.04644957929851,"[]","JMn7PpG1jrlG7XoFsjmX",0.55,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_100039_575792116883858388.jpg?alt=media&token=073c7871-bce9-4707-9e97-11d0d6a6d86f","2023-01-05 10:01:26","Sano, vigoroso"
"wm135","Tara",-17.411342559019165,"qIQ5MxS11CT6I1Ejx5Zz","Parque","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.04652870446445,"[]","eMkpXXAfkts7hDneYkVv",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_095909_6729433331193107071.jpg?alt=media&token=8c9d8f69-2b42-4417-8b3d-29f21dc19d4f","2023-01-05 10:01:47","Sano, vigoroso"
"Wm138","Chillijchi",-17.411347357731305,"0LDYkkY0mmdmSWEBJhmG","Corredor biológico urbano","Erythrina falcata Benth.","vivo",-66.04642175137997,"[]","oZy0CXn9IpzOvZOf9rYU",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_100100_1000073651.jpg?alt=media&token=1054b2c6-29fd-47c6-ac37-c25dff9d6618","2023-01-05 10:02:50","Sano, vigoroso"
"Wm140","Guayaba",-17.411396304587953,"rFugNYA1fxaPXdG2HZVg","Parque","...","vivo",-66.04646433144806,"[]","EAalA69U2hjisN3btxRr",0.25,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_100038_1592393054134418247.jpg?alt=media&token=40064167-ffb7-4242-aed3-08bb05d77e77","2023-01-05 10:04:12","Sano, vigoroso"
"WR139","Tara",-17.411384147853532,"92yyh5QF6rRuLtXkZPNR","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.04637648910284,"[]","QX8GvTBJIe3REJQwKw0z",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_100350_2025325233309377916.jpg?alt=media&token=a11f73e4-ebd6-460d-9de2-dc9ceb579122","2023-01-05 10:04:26","Sano, vigoroso"
"wm141","Limón ",-17.411461567043066,"zLZ0EzopbRfn16elOxvB","Parque","...","vivo",-66.04641135782003,"[]","SCvZxr38BwecnE7RCOeq",0.45,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_100315_3302758291027810731.jpg?alt=media&token=96299677-1a46-4acf-a0ee-d633bd1e437e","2023-01-05 10:06:02","Sano, vigoroso"
"Wm142","Tara ",-17.41143885315201,"9AvlxmemMOjdRfJaN2lZ","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.04625478386879,"[]","q1D0lCOSplCgAnrkA8zI",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_100446_1000073652.jpg?alt=media&token=d5949a4d-39b9-4bf6-ba86-83e66f88b7ae","2023-01-05 10:15:37","Sano, vigoroso"
"wm144","Tipa",-17.411460287387307,"LuOAYQheUwdc8hj8dNGV","Corredor biológico urbano","Thevetia peruviana","vivo",-66.04622360318899,"[]","VQAy7wFtrVPQQEwnjvZr",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_101547_5456124017412151649.jpg?alt=media&token=9e056e9e-6ef5-45ae-b870-d3fb0cf57460","2023-01-05 10:18:06","Sano, vigoroso"
"Wm143","Chillijchi",-17.41135567549871,"jXzwX2pKJdGGaXYPNkei","Corredor biológico urbano","Erythrina falcata Benth.","vivo",-66.04618571698666,"[]","V24V3f3vMAKh6FBgRmvE",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_101657_6673780868822875994.jpg?alt=media&token=9e35bd84-91c5-467e-8d88-15bd69867c1a","2023-01-05 10:18:09","Sano, vigoroso"
"wm145","guayaba",-17.41146668566602,"DipE6yRMb7D0P2Ya4sfJ","Corredor biológico urbano","...","vivo",-66.04620449244976,"[]","mkBn167amBdFaHXON6uh",0.45,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_102156_614821473668574885.jpg?alt=media&token=417ef90c-7303-4ecd-bf38-1cad956dc931","2023-01-05 10:22:41","Sano, vigoroso"
"wm146","Jacarandá",-17.411391825791142,"uD5JqDg1Woxhs5tDrsRz","Corredor biológico urbano","Jacarandá mimosifolia D. Don","vivo",-66.0461850464344,"[]","yiIvcoO6MBcUAVYAzuio",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_102355_4908757234792991972.jpg?alt=media&token=76062e96-6eeb-4754-a5c9-19bcc57ef4db","2023-01-05 10:25:23","Sano, vigoroso"
"wm147","Sauce criollo",-17.41136335343753,"7AYw9RYdPxN9Lb9d4Ode","Corredor biológico urbano","Salix humboldtiana","vivo",-66.04615822434425,"[]","9uifzqopKT4PqRx9cley",0.45,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_102709_140474533604592756.jpg?alt=media&token=41655702-8127-4df3-b240-5480b02a508d","2023-01-05 10:28:00","Sano, vigoroso"
"Wm148","Chillijchi",-17.411484920759094,"G3GBuRLCgRVcJ26w7z1L","Corredor biológico urbano","Erythrina falcata Benth.","vivo",-66.0461612418294,"[]","FYy065DCtE7nlYD85ejZ",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_102957_1000073664.jpg?alt=media&token=0a0e26ec-db04-415b-b318-735733b39636","2023-01-05 10:30:55","Sano, vigoroso"
"WM149","Jarca",-17.41140942106363,"kvGJgdx6IxQ4JnJFgrvy","Corredor biológico urbano","Senegalia (Acacia) visco (Lorentz ex Griseb.) Seigler & Ebinger","vivo",-66.04615755379199,"[]","pg43OFFxJWMAuxPezd4f",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_103112_2496377450516710576.jpg?alt=media&token=83bc9ff0-8ab5-46f5-9943-1524b37f586a","2023-01-05 10:32:13","Sano, vigoroso"
"wm150","Chamba",-17.411401423212713,"x3mKnGKflUEDNaO9ai9y","Corredor biológico urbano","Leucaena leucocephala","vivo",-66.04610826820135,"[]","ixsgD8wQtQ2XeqvIpAMF",0.1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_103420_5474294908082571509.jpg?alt=media&token=31e03d9f-094f-44f7-b33e-efbf81b555f0","2023-01-05 10:35:25","Sano, vigoroso"
"Wm152","Chacatea",-17.411506354988973,"vyO2NokmPBjui3NNyZ07","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.04613073170185,"[]","M53yNEoGcbxTWrKWOGXx",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_103653_1000073668.jpg?alt=media&token=ab4d3f52-db27-4eff-8924-d877dcb2cf08","2023-01-05 10:37:37","Sano, vigoroso"
"WM153","limón ",-17.411457088247868,"mHqMUskE0d7e1bHBSB2H","Corredor biológico urbano","...","vivo",-66.04609183967113,"[]","XhiRqZNEBHWYZuUD1aFd",0.7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_103909_7364791616365274334.jpg?alt=media&token=748063d7-b4e5-44dc-8a46-d2dd00fb0fe9","2023-01-05 10:39:36","Sano, vigoroso"
"Wm154","Jacarandá",-17.411521710853624,"w6PFHxTWfL7tOMdVFD7V","Corredor biológico urbano","Jacarandá mimosifolia D. Don","vivo",-66.0460988804698,"[]","eSQixXIcxVYJm5AQI5Ii",0.2,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_104325_1000073669.jpg?alt=media&token=cf7b0344-f81c-4c31-a5fb-3a3659032aab","2023-01-05 10:44:18","Sano, vigoroso"
"wm151","Soto",-17.411422537538396,"ykgwIKC7elWy8I3LZbKr","Corredor biológico urbano","Schinopsis haenkeana Engl.","vivo",-66.0460576415062,"[]","UMPMQAcawR1NY5SRkUrn",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_104305_3132505379829872806.jpg?alt=media&token=e4f81687-433f-4146-a1eb-3f368893b786","2023-01-05 10:44:18","Sano, vigoroso"
"Wm156","Tara",-17.411544424734373,"TqUG136HxuMAeT22gDkc","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.04606300592422,"[]","r3Il8I7hElAIpO3AWhdW",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_104639_1000073670.jpg?alt=media&token=0b8d6a26-8b45-444c-b646-d2e89d96f05e","2023-01-05 10:46:48","Sano, vigoroso"
"Wm155","Olivo",-17.41144877048507,"IzwV9Uj3g3yGNUrTvDY4","Corredor biológico urbano","...","vivo",-66.04604423046112,"[]","lIdBLavwY2VgEPxHdh4s",0.8,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_104707_6338363585871752481.jpg?alt=media&token=8490faee-370b-4f65-8b26-31feac70a097","2023-01-05 10:47:47","Sano, vigoroso"
"WR157","limón ",-17.411501556281017,"xRjrUD92QNtstVZrU3dN","Corredor biológico urbano","...","vivo",-66.04603920131922,"[]","4ehZCHlrzg0ypFOwkjAt",0.75,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_104849_7073479138748058031.jpg?alt=media&token=eb975b56-8ec5-4d50-b73f-f1e38f9ba807","2023-01-05 10:49:25","Sano, vigoroso"
"Wm159","Sauce criollo",-17.411578975420795,"AngPjx9P2vUu9Tem1WfT","Corredor biológico urbano","Salix humboldtiana","vivo",-66.04602109640837,"[]","iA1ZThgIUhJyXJuvAL4H",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_104847_1000073673.jpg?alt=media&token=bbb52cc0-937a-4343-974d-7e7829cacbd9","2023-01-05 10:49:58","Sano, vigoroso"
"wm158","Romero",-17.411471164460977,"KhSE0uFr0PRixmcLQ3As","Corredor biológico urbano","...","vivo",-66.04601237922907,"[]","9FUydwt9lFAGkoCjAnD1",0.12,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_105216_6807591187415136281.jpg?alt=media&token=af989112-3862-4926-9329-57d231948497","2023-01-05 10:53:35","Sano, vigoroso"
"wm159","Sauce criollo",-17.41148875972582,"YyR78kENgULhP3iDveri","Corredor biológico urbano","Salix humboldtiana","vivo",-66.04598354548216,"[]","hhSeiIvQgQpzuGAAdhKy",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_105405_626031117851801947.jpg?alt=media&token=035adf87-5d3e-4e50-a55b-74d8d65596d3","2023-01-05 10:54:47","Sano, vigoroso"
"Wm160","Tipa",-17.411593691451927,"mbI2A6kQtMKNdBMN4yTr","Corredor biológico urbano","...","vivo",-66.04600131511688,"[]","GoiikvsurtU11gXYC1Pn",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_105433_1000073674.jpg?alt=media&token=d5a39a26-76da-4e20-ad74-98eb5fc729ed","2023-01-05 10:55:31","Sano, vigoroso"
"Wm161","Limón ",-17.411610007050264,"R37vHeg6OvLrtty6v5Vs","Corredor biológico urbano","...","vivo",-66.04597549885511,"[]","HaNW36T3aqx70RET2AmE",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_105725_1000073675.jpg?alt=media&token=d258540f-47d4-4423-b261-60069104fd13","2023-01-05 10:58:10","Sano, vigoroso"
"WR162","pomelo",-17.41155818102697,"EJysM0d58jRqZV3g0zLW","Corredor biológico urbano","...","vivo",-66.04597851634026,"[]","MVa9Ua0eUujVWLdo7rPb",0.7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_105740_8199653287799790412.jpg?alt=media&token=990387bd-89a1-43c6-9b32-ec19ed342b66","2023-01-05 10:58:46","Sano, vigoroso"
"wm163","Guayaba ",-17.411521390939782,"4Xqe34NohFXOlhPU93rN","Corredor biológico urbano","...","vivo",-66.0459503531456,"[]","VAut6NAdMjBCxmz41v0V",0.35,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_110006_7435307840762343543.jpg?alt=media&token=59b98760-ee03-4388-b275-8cb4d020d1f3","2023-01-05 11:01:00","Sano, vigoroso"
"Wm165","Chacatea",-17.411626642560798,"PBAsDmF8QvktV80s4e1g","Corredor biológico urbano","Dodonaea viscosa Jacq.","vivo",-66.04595001786947,"[]","vohDXihzPqLa7nhwKUOd",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_110354_1000073679.jpg?alt=media&token=7f29d136-52f3-417f-8347-a567ef1a0225","2023-01-05 11:04:03","Sano, vigoroso"
"Wm164","Limón",-17.41153482732032,"S6w5U0gYZkHxA0kyGa3a","Corredor biológico urbano","...","vivo",-66.04592621326447,"[]","bf2UVXESZhlu8mydGuO7",1.2,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_110130_1874530200157348797.jpg?alt=media&token=7cf39cd0-f48a-4e54-9ce9-a832550e66ab","2023-01-05 11:04:16","Sano, vigoroso"
"WR166","pomelo ",-17.41159785033006,"85iijs6Fw3cnJntKkYW6","Corredor biológico urbano","...","vivo",-66.04592051357031,"[]","sh8zdjLAZtq3bn43A2Aq",0.75,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_110816_7289472577754920508.jpg?alt=media&token=e48a6920-cc36-4f3e-af84-41cbbdfbe229","2023-01-05 11:08:35","Sano, vigoroso"
"Wm168","Tajibo",-17.41164359798343,"q41qGVpZhfhZcxKhNSkl","Corredor biológico urbano","Handroanthus (Tabebuia) impetiginosus (Mart. ex DC.) Mattos.","vivo",-66.04591984301805,"[]","xggckPo4NQHzY18XhlE7",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_111042_1000073680.jpg?alt=media&token=18ecf99c-58f3-47d2-8fce-5520e95e9d27","2023-01-05 11:10:52","Sano, vigoroso"
"wm167","Tajibo",-17.41155818102697,"IWAY413xJfNb4MvgZPQL","Corredor biológico urbano","Handroanthus (Tabebuia) impetiginosus (Mart. ex DC.) Mattos.","vivo",-66.04589737951756,"[]","eRPXHJZBjIXfnfXTNHuP",0.8,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_111050_5380688184616915856.jpg?alt=media&token=b106e19a-94fa-46e2-bd2a-81886bc14b9c","2023-01-05 11:11:56","Sano, vigoroso"
"Wm169","Chillijchi",-17.411562659819687,"qamFp19JoGLvp1GHIH49","Corredor biológico urbano","Erythrina falcata Benth.","vivo",-66.04588631540537,"[]","N6ZAr4TlquHgdAsVEvef",0.48,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_111212_6632876893751935010.jpg?alt=media&token=47cde432-3a23-447d-8ade-42112226cd12","2023-01-05 11:13:11","Sano, vigoroso"
"Wm170","Jacarandá",-17.411665032194712,"zkgIMkyJVrwFH2P8vNe0","Corredor biológico urbano","Jacarandá mimosifolia D. Don","vivo",-66.04588598012924,"[]","6SunNGq9FSq1U1Upk6HO",0.15,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_111503_1000073682.jpg?alt=media&token=d0d8b141-1090-4fae-933d-0cd8d21aaaa0","2023-01-05 11:15:54","Sano, vigoroso"
"wm171","Jazmín ",-17.411622803596963,"zFcHNraxnhZPmTPKzZzA","Corredor biológico urbano","...","vivo",-66.04587022215128,"[]","O2OVhLxL9iIY8lH17NiD",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_111809_7870104234695659829.jpg?alt=media&token=26acde36-2cc1-4c44-9be6-94dc752a4b3b","2023-01-05 11:19:53","Sano, vigoroso"
"Wm172","Tara",-17.411586973263955,"fCtatfEWm3i2b1hsFA9J","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.0458554700017,"[]","yNMMSrD4O7JxYBGxD6WD",0.45,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_112041_4370386690791524372.jpg?alt=media&token=b8a8843b-32f3-4d7e-87ac-53f9c145c878","2023-01-05 11:21:19","Sano, vigoroso"
"Wm173","Tara",-17.411697663377186,"lMzzSodYSVELoPtwgirE","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.04584708809853,"[]","YwhFz89a0lKdZ7UtEWdU",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_114110_1000073687.jpg?alt=media&token=00695514-b626-44b3-a463-e26c003df490","2023-01-05 11:41:47","Sano, vigoroso"
"Wm174","Jacarandá",-17.411614485841707,"fxiyBnv15zXjeI8PmBhw","Corredor biológico urbano","Jacarandá mimosifolia D. Don","vivo",-66.04581356048584,"[]","UIIOVAgEdXvFryei93j9",0.35,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_114101_7860281837676421921.jpg?alt=media&token=d8e4c960-f7e7-4bff-942f-a9feaff6e3b0","2023-01-05 11:42:16","Sano, vigoroso"
"wm175","Sauce criollo",-17.411711739571743,"PguGMsGebi9SyDeGr0VE","Corredor biológico urbano","Salix humboldtiana","vivo",-66.04582697153091,"[]","jkFF9HU8ZixS4fIcKmRK",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_114426_2618785073334515590.jpg?alt=media&token=5bd1f44f-ff8d-4de6-90a3-205680fd9522","2023-01-05 11:45:07","Sano, vigoroso"
"wm176","Jazmín ",-17.41168742614409,"E8g8jBbtIQdxWG6vj7jA","Corredor biológico urbano","...","vivo",-66.04578405618668,"[]","YvSdtpbdHOfW1hI8MjSL",1.1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_114605_7123887320633684285.jpg?alt=media&token=f56f72c0-c8ee-465a-b4de-55cee3b2dbf0","2023-01-05 11:47:01","Sano, vigoroso"
"Wm179","Limón ",-17.411735413169257,"fLH2oP0CagkyPbfprTvt","Corredor biológico urbano","...","vivo",-66.0457967966795,"[]","iC5APrwSt4e65t24SVOU",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_114738_1000073692.jpg?alt=media&token=ed82dd7c-7a15-41fb-8888-3189c2258b65","2023-01-05 11:48:12","Sano, vigoroso"
"Wm177","limón",-17.41165543478698,"leJktqTdLuLL2BSgwfyh","Corredor biológico urbano","...","vivo",-66.0457706451416,"[]","95xPEB1AgT2sbeCFVmNw",1.2,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_114816_5162431907518089745.jpg?alt=media&token=adad381c-0f37-4628-90f0-57f62c0b69a8","2023-01-05 11:48:36","Sano, vigoroso"
"wm178","Chillijchi",-17.411660873318088,"LrUfkeTocmMDZHDdUO7L","Corredor biológico urbano","Erythrina falcata Benth.","vivo",-66.04573879390955,"[]","LsXZH7OqNmc5NDL4zHxk",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_114950_4244053975987000678.jpg?alt=media&token=81579856-dbe5-49fa-82e5-f138ca34f62b","2023-01-05 11:51:13","Sano, vigoroso"
"Wm180","Romero",-17.4117523685818,"Sp1IRgMGb2EBnYOhhxSb","Corredor biológico urbano","...","vivo",-66.04577332735062,"[]","2UPlW7RHT43s8ZQIBgeI",0.25,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_114920_1000073693.jpg?alt=media&token=49888f59-f88f-4d70-a1ad-04d445ff1794","2023-01-05 11:51:20","Sano, vigoroso"
"Wm81","Limón",-17.411775722260657,"BcINENaFZJlJHEqPQHWG","Corredor biológico urbano","...","vivo",-66.04573577642441,"[]","oIatHO0pQjkCjv1O2raT",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_115214_1000073694.jpg?alt=media&token=5a72967c-42ae-42b6-8bf6-56d011417b1f","2023-01-05 11:53:14","Sano, vigoroso"
"Wm182","Jasmin",-17.41172069714954,"6Pyg3wg0soUZboAu9AGZ","Corredor biológico urbano","...","vivo",-66.04573410004377,"[]","j3UjlmfT8t3Cwsedw7NW",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_115317_4278458017507487348.jpg?alt=media&token=c4eb127e-a92d-4e23-b3b8-4f9685e1c2c2","2023-01-05 11:54:27","Sano, vigoroso"
"Wm183","Tara",-17.41168646640347,"2Gv8d8Wo39lls0jqaOf0","Corredor biológico urbano","Tara spinosa (Feuillée ex Molina) Britton & Rose","vivo",-66.04570157825947,"[]","vQbEeCxy5cnABev3KEuI",0.48,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20230105_115529_233805885113576739.jpg?alt=media&token=a0b6f5c0-7537-4f8c-8560-5090aa95ac0d","2023-01-05 11:55:50","Sano, vigoroso"
